date,area,average_price,houses_sold
1995-01-01,city of london,91449,17.0
1995-02-01,city of london,82203,7.0
1995-03-01,city of london,79121,14.0
1995-04-01,city of london,77101,7.0
1995-05-01,city of london,84409,10.0
1995-06-01,city of london,94901,17.0
1995-07-01,city of london,110128,13.0
1995-08-01,city of london,112329,14.0
1995-09-01,city of london,104473,17.0
1995-10-01,city of london,108038,14.0
1995-11-01,city of london,117636,11.0
1995-12-01,city of london,127232,18.0
1996-01-01,city of london,108999,17.0
1996-02-01,city of london,93357,10.0
1996-03-01,city of london,93707,17.0
1996-04-01,city of london,120543,14.0
1996-05-01,city of london,112050,19.0
1996-06-01,city of london,114226,28.0
1996-07-01,city of london,97547,30.0
1996-08-01,city of london,114179,25.0
1996-09-01,city of london,108138,32.0
1996-10-01,city of london,98934,33.0
1996-11-01,city of london,99707,31.0
1996-12-01,city of london,106427,26.0
1997-01-01,city of london,116343,22.0
1997-02-01,city of london,111142,37.0
1997-03-01,city of london,107488,70.0
1997-04-01,city of london,108480,19.0
1997-05-01,city of london,115453,12.0
1997-06-01,city of london,118317,21.0
1997-07-01,city of london,117034,26.0
1997-08-01,city of london,113585,9.0
1997-09-01,city of london,115159,22.0
1997-10-01,city of london,121251,22.0
1997-11-01,city of london,131074,18.0
1997-12-01,city of london,130035,37.0
1998-01-01,city of london,124382,48.0
1998-02-01,city of london,143829,43.0
1998-03-01,city of london,156508,39.0
1998-04-01,city of london,163403,28.0
1998-05-01,city of london,143625,30.0
1998-06-01,city of london,132251,32.0
1998-07-01,city of london,140377,17.0
1998-08-01,city of london,148993,34.0
1998-09-01,city of london,152807,40.0
1998-10-01,city of london,162020,42.0
1998-11-01,city of london,152387,23.0
1998-12-01,city of london,155801,48.0
1999-01-01,city of london,149143,41.0
1999-02-01,city of london,164545,31.0
1999-03-01,city of london,174586,53.0
1999-04-01,city of london,191157,28.0
1999-05-01,city of london,191081,35.0
1999-06-01,city of london,185993,63.0
1999-07-01,city of london,164056,42.0
1999-08-01,city of london,160905,58.0
1999-09-01,city of london,166193,30.0
1999-10-01,city of london,163490,29.0
1999-11-01,city of london,175143,29.0
1999-12-01,city of london,169309,97.0
2000-01-01,city of london,173738,24.0
2000-02-01,city of london,174152,55.0
2000-03-01,city of london,178339,48.0
2000-04-01,city of london,183101,58.0
2000-05-01,city of london,175041,38.0
2000-06-01,city of london,198191,60.0
2000-07-01,city of london,214852,33.0
2000-08-01,city of london,221952,22.0
2000-09-01,city of london,223175,20.0
2000-10-01,city of london,245062,19.0
2000-11-01,city of london,321773,18.0
2000-12-01,city of london,314772,33.0
2001-01-01,city of london,284262,24.0
2001-02-01,city of london,198137,37.0
2001-03-01,city of london,189033,44.0
2001-04-01,city of london,205494,38.0
2001-05-01,city of london,223459,30.0
2001-06-01,city of london,242435,36.0
2001-07-01,city of london,230700,40.0
2001-08-01,city of london,231632,30.0
2001-09-01,city of london,229806,30.0
2001-10-01,city of london,263887,26.0
2001-11-01,city of london,346458,15.0
2001-12-01,city of london,362204,17.0
2002-01-01,city of london,344239,30.0
2002-02-01,city of london,284015,12.0
2002-03-01,city of london,253697,47.0
2002-04-01,city of london,245313,31.0
2002-05-01,city of london,227281,30.0
2002-06-01,city of london,253130,25.0
2002-07-01,city of london,262428,26.0
2002-08-01,city of london,274016,51.0
2002-09-01,city of london,277047,49.0
2002-10-01,city of london,271941,19.0
2002-11-01,city of london,280283,28.0
2002-12-01,city of london,262197,44.0
2003-01-01,city of london,261645,32.0
2003-02-01,city of london,263992,20.0
2003-03-01,city of london,291969,31.0
2003-04-01,city of london,295174,30.0
2003-05-01,city of london,284860,38.0
2003-06-01,city of london,267208,84.0
2003-07-01,city of london,260204,48.0
2003-08-01,city of london,245449,46.0
2003-09-01,city of london,243184,38.0
2003-10-01,city of london,252980,33.0
2003-11-01,city of london,277515,42.0
2003-12-01,city of london,305556,38.0
2004-01-01,city of london,326913,98.0
2004-02-01,city of london,301092,16.0
2004-03-01,city of london,272731,20.0
2004-04-01,city of london,269514,25.0
2004-05-01,city of london,280062,22.0
2004-06-01,city of london,297421,38.0
2004-07-01,city of london,298293,34.0
2004-08-01,city of london,307094,46.0
2004-09-01,city of london,305126,27.0
2004-10-01,city of london,289912,24.0
2004-11-01,city of london,333075,13.0
2004-12-01,city of london,331161,14.0
2005-01-01,city of london,330363,17.0
2005-02-01,city of london,288867,18.0
2005-03-01,city of london,304851,18.0
2005-04-01,city of london,317398,32.0
2005-05-01,city of london,311442,20.0
2005-06-01,city of london,282866,33.0
2005-07-01,city of london,283641,29.0
2005-08-01,city of london,305351,26.0
2005-09-01,city of london,310906,37.0
2005-10-01,city of london,338837,14.0
2005-11-01,city of london,327256,29.0
2005-12-01,city of london,339626,30.0
2006-01-01,city of london,316121,19.0
2006-02-01,city of london,323653,17.0
2006-03-01,city of london,325106,28.0
2006-04-01,city of london,319580,24.0
2006-05-01,city of london,313126,22.0
2006-06-01,city of london,304977,29.0
2006-07-01,city of london,338307,25.0
2006-08-01,city of london,358438,30.0
2006-09-01,city of london,377545,24.0
2006-10-01,city of london,365177,33.0
2006-11-01,city of london,354438,21.0
2006-12-01,city of london,365755,22.0
2007-01-01,city of london,360923,20.0
2007-02-01,city of london,399437,25.0
2007-03-01,city of london,403144,28.0
2007-04-01,city of london,419005,22.0
2007-05-01,city of london,411183,22.0
2007-06-01,city of london,436079,19.0
2007-07-01,city of london,467348,32.0
2007-08-01,city of london,473887,27.0
2007-09-01,city of london,463525,23.0
2007-10-01,city of london,456422,19.0
2007-11-01,city of london,450831,22.0
2007-12-01,city of london,464277,11.0
2008-01-01,city of london,471861,16.0
2008-02-01,city of london,453707,33.0
2008-03-01,city of london,404849,6.0
2008-04-01,city of london,382571,5.0
2008-05-01,city of london,389733,29.0
2008-06-01,city of london,420665,9.0
2008-07-01,city of london,442352,11.0
2008-08-01,city of london,472397,8.0
2008-09-01,city of london,466082,6.0
2008-10-01,city of london,440012,9.0
2008-11-01,city of london,396155,2.0
2008-12-01,city of london,387178,6.0
2009-01-01,city of london,400317,5.0
2009-02-01,city of london,393361,6.0
2009-03-01,city of london,399220,8.0
2009-04-01,city of london,345338,9.0
2009-05-01,city of london,373504,6.0
2009-06-01,city of london,348751,18.0
2009-07-01,city of london,379109,20.0
2009-08-01,city of london,360545,20.0
2009-09-01,city of london,391138,19.0
2009-10-01,city of london,399867,19.0
2009-11-01,city of london,397909,11.0
2009-12-01,city of london,411955,16.0
2010-01-01,city of london,464436,20.0
2010-02-01,city of london,490525,9.0
2010-03-01,city of london,498241,15.0
2010-04-01,city of london,458246,22.0
2010-05-01,city of london,454928,21.0
2010-06-01,city of london,428120,29.0
2010-07-01,city of london,420234,24.0
2010-08-01,city of london,442597,21.0
2010-09-01,city of london,455290,20.0
2010-10-01,city of london,456016,12.0
2010-11-01,city of london,430305,12.0
2010-12-01,city of london,445016,31.0
2011-01-01,city of london,442413,16.0
2011-02-01,city of london,504009,12.0
2011-03-01,city of london,475353,19.0
2011-04-01,city of london,516319,21.0
2011-05-01,city of london,459477,28.0
2011-06-01,city of london,466525,22.0
2011-07-01,city of london,420435,19.0
2011-08-01,city of london,421486,27.0
2011-09-01,city of london,436019,25.0
2011-10-01,city of london,450034,21.0
2011-11-01,city of london,478809,21.0
2011-12-01,city of london,496291,24.0
2012-01-01,city of london,525723,11.0
2012-02-01,city of london,510537,17.0
2012-03-01,city of london,527408,9.0
2012-04-01,city of london,524290,12.0
2012-05-01,city of london,573532,12.0
2012-06-01,city of london,542518,21.0
2012-07-01,city of london,543037,16.0
2012-08-01,city of london,496168,17.0
2012-09-01,city of london,525971,15.0
2012-10-01,city of london,521769,17.0
2012-11-01,city of london,521448,22.0
2012-12-01,city of london,491529,28.0
2013-01-01,city of london,465451,16.0
2013-02-01,city of london,499207,20.0
2013-03-01,city of london,527874,18.0
2013-04-01,city of london,590685,13.0
2013-05-01,city of london,578037,31.0
2013-06-01,city of london,662700,11.0
2013-07-01,city of london,651116,29.0
2013-08-01,city of london,645847,94.0
2013-09-01,city of london,529619,104.0
2013-10-01,city of london,527374,54.0
2013-11-01,city of london,546793,22.0
2013-12-01,city of london,615401,21.0
2014-01-01,city of london,625001,26.0
2014-02-01,city of london,648359,17.0
2014-03-01,city of london,654629,36.0
2014-04-01,city of london,665262,19.0
2014-05-01,city of london,682663,22.0
2014-06-01,city of london,697309,21.0
2014-07-01,city of london,724282,15.0
2014-08-01,city of london,761544,27.0
2014-09-01,city of london,753704,18.0
2014-10-01,city of london,763369,12.0
2014-11-01,city of london,762735,39.0
2014-12-01,city of london,773768,71.0
2015-01-01,city of london,783667,37.0
2015-02-01,city of london,760550,39.0
2015-03-01,city of london,767207,35.0
2015-04-01,city of london,729148,21.0
2015-05-01,city of london,762815,24.0
2015-06-01,city of london,776509,19.0
2015-07-01,city of london,779097,17.0
2015-08-01,city of london,760243,18.0
2015-09-01,city of london,767464,35.0
2015-10-01,city of london,781358,21.0
2015-11-01,city of london,741727,11.0
2015-12-01,city of london,713253,31.0
2016-01-01,city of london,736788,15.0
2016-02-01,city of london,765644,36.0
2016-03-01,city of london,794754,35.0
2016-04-01,city of london,805320,7.0
2016-05-01,city of london,845579,9.0
2016-06-01,city of london,907965,7.0
2016-07-01,city of london,911827,7.0
2016-08-01,city of london,848269,8.0
2016-09-01,city of london,780527,8.0
2016-10-01,city of london,792664,11.0
2016-11-01,city of london,818663,16.0
2016-12-01,city of london,811786,13.0
2017-01-01,city of london,820305,11.0
2017-02-01,city of london,820665,9.0
2017-03-01,city of london,853943,18.0
2017-04-01,city of london,906146,20.0
2017-05-01,city of london,939912,21.0
2017-06-01,city of london,930979,19.0
2017-07-01,city of london,854798,20.0
2017-08-01,city of london,847422,21.0
2017-09-01,city of london,836674,29.0
2017-10-01,city of london,818477,17.0
2017-11-01,city of london,790159,14.0
2017-12-01,city of london,778002,20.0
2018-01-01,city of london,802129,34.0
2018-02-01,city of london,783266,27.0
2018-03-01,city of london,740799,19.0
2018-04-01,city of london,732351,14.0
2018-05-01,city of london,796399,19.0
2018-06-01,city of london,789278,87.0
2018-07-01,city of london,809697,32.0
2018-08-01,city of london,784144,22.0
2018-09-01,city of london,800875,40.0
2018-10-01,city of london,802869,30.0
2018-11-01,city of london,764207,31.0
2018-12-01,city of london,811694,37.0
2019-01-01,city of london,865636,10.0
2019-02-01,city of london,894680,10.0
2019-03-01,city of london,853616,14.0
2019-04-01,city of london,738842,20.0
2019-05-01,city of london,718773,7.0
2019-06-01,city of london,743157,16.0
2019-07-01,city of london,719871,13.0
2019-08-01,city of london,777613,17.0
2019-09-01,city of london,792034,11.0
2019-10-01,city of london,827093,4.0
2019-11-01,city of london,777610,5.0
1995-01-01,barking and dagenham,50460,96.0
1995-02-01,barking and dagenham,51086,95.0
1995-03-01,barking and dagenham,51269,144.0
1995-04-01,barking and dagenham,53134,109.0
1995-05-01,barking and dagenham,53042,149.0
1995-06-01,barking and dagenham,53700,148.0
1995-07-01,barking and dagenham,52113,117.0
1995-08-01,barking and dagenham,52232,150.0
1995-09-01,barking and dagenham,51472,112.0
1995-10-01,barking and dagenham,51514,120.0
1995-11-01,barking and dagenham,50849,127.0
1995-12-01,barking and dagenham,50945,109.0
1996-01-01,barking and dagenham,50828,94.0
1996-02-01,barking and dagenham,51441,154.0
1996-03-01,barking and dagenham,51907,152.0
1996-04-01,barking and dagenham,51724,125.0
1996-05-01,barking and dagenham,51736,143.0
1996-06-01,barking and dagenham,50761,142.0
1996-07-01,barking and dagenham,50621,178.0
1996-08-01,barking and dagenham,51105,164.0
1996-09-01,barking and dagenham,51893,156.0
1996-10-01,barking and dagenham,52533,172.0
1996-11-01,barking and dagenham,52216,217.0
1996-12-01,barking and dagenham,53854,184.0
1997-01-01,barking and dagenham,54459,153.0
1997-02-01,barking and dagenham,55451,169.0
1997-03-01,barking and dagenham,55005,192.0
1997-04-01,barking and dagenham,55280,175.0
1997-05-01,barking and dagenham,54937,202.0
1997-06-01,barking and dagenham,55287,203.0
1997-07-01,barking and dagenham,55659,265.0
1997-08-01,barking and dagenham,56507,244.0
1997-09-01,barking and dagenham,56306,214.0
1997-10-01,barking and dagenham,57200,244.0
1997-11-01,barking and dagenham,57575,188.0
1997-12-01,barking and dagenham,58025,185.0
1998-01-01,barking and dagenham,57559,152.0
1998-02-01,barking and dagenham,57360,153.0
1998-03-01,barking and dagenham,57908,190.0
1998-04-01,barking and dagenham,59196,202.0
1998-05-01,barking and dagenham,60356,206.0
1998-06-01,barking and dagenham,60583,191.0
1998-07-01,barking and dagenham,60412,321.0
1998-08-01,barking and dagenham,60837,221.0
1998-09-01,barking and dagenham,61485,236.0
1998-10-01,barking and dagenham,62005,242.0
1998-11-01,barking and dagenham,62240,202.0
1998-12-01,barking and dagenham,63488,180.0
1999-01-01,barking and dagenham,64532,177.0
1999-02-01,barking and dagenham,64166,141.0
1999-03-01,barking and dagenham,63528,197.0
1999-04-01,barking and dagenham,63580,225.0
1999-05-01,barking and dagenham,64508,197.0
1999-06-01,barking and dagenham,64704,251.0
1999-07-01,barking and dagenham,64921,304.0
1999-08-01,barking and dagenham,65385,231.0
1999-09-01,barking and dagenham,66003,204.0
1999-10-01,barking and dagenham,66367,238.0
1999-11-01,barking and dagenham,67344,254.0
1999-12-01,barking and dagenham,68812,267.0
2000-01-01,barking and dagenham,71079,182.0
2000-02-01,barking and dagenham,72633,191.0
2000-03-01,barking and dagenham,73624,216.0
2000-04-01,barking and dagenham,73800,214.0
2000-05-01,barking and dagenham,75126,240.0
2000-06-01,barking and dagenham,76939,294.0
2000-07-01,barking and dagenham,78869,305.0
2000-08-01,barking and dagenham,80150,240.0
2000-09-01,barking and dagenham,81761,223.0
2000-10-01,barking and dagenham,82501,196.0
2000-11-01,barking and dagenham,82386,227.0
2000-12-01,barking and dagenham,81726,285.0
2001-01-01,barking and dagenham,82343,215.0
2001-02-01,barking and dagenham,83266,238.0
2001-03-01,barking and dagenham,84058,274.0
2001-04-01,barking and dagenham,83965,241.0
2001-05-01,barking and dagenham,85124,283.0
2001-06-01,barking and dagenham,86732,292.0
2001-07-01,barking and dagenham,89194,289.0
2001-08-01,barking and dagenham,90462,321.0
2001-09-01,barking and dagenham,92610,251.0
2001-10-01,barking and dagenham,93584,270.0
2001-11-01,barking and dagenham,95918,282.0
2001-12-01,barking and dagenham,96712,247.0
2002-01-01,barking and dagenham,98713,216.0
2002-02-01,barking and dagenham,100229,198.0
2002-03-01,barking and dagenham,101633,261.0
2002-04-01,barking and dagenham,103885,285.0
2002-05-01,barking and dagenham,105761,335.0
2002-06-01,barking and dagenham,108615,307.0
2002-07-01,barking and dagenham,111983,347.0
2002-08-01,barking and dagenham,115548,350.0
2002-09-01,barking and dagenham,118331,268.0
2002-10-01,barking and dagenham,122940,312.0
2002-11-01,barking and dagenham,127316,300.0
2002-12-01,barking and dagenham,131709,270.0
2003-01-01,barking and dagenham,134750,254.0
2003-02-01,barking and dagenham,138195,219.0
2003-03-01,barking and dagenham,142207,247.0
2003-04-01,barking and dagenham,142192,254.0
2003-05-01,barking and dagenham,142797,248.0
2003-06-01,barking and dagenham,141957,325.0
2003-07-01,barking and dagenham,142223,329.0
2003-08-01,barking and dagenham,142792,339.0
2003-09-01,barking and dagenham,141707,361.0
2003-10-01,barking and dagenham,145136,347.0
2003-11-01,barking and dagenham,146331,318.0
2003-12-01,barking and dagenham,149701,374.0
2004-01-01,barking and dagenham,150115,321.0
2004-02-01,barking and dagenham,152688,297.0
2004-03-01,barking and dagenham,153591,368.0
2004-04-01,barking and dagenham,154014,302.0
2004-05-01,barking and dagenham,154361,322.0
2004-06-01,barking and dagenham,156951,351.0
2004-07-01,barking and dagenham,159227,330.0
2004-08-01,barking and dagenham,160620,316.0
2004-09-01,barking and dagenham,162821,292.0
2004-10-01,barking and dagenham,164422,254.0
2004-11-01,barking and dagenham,165172,255.0
2004-12-01,barking and dagenham,164130,208.0
2005-01-01,barking and dagenham,164484,183.0
2005-02-01,barking and dagenham,162324,168.0
2005-03-01,barking and dagenham,161927,213.0
2005-04-01,barking and dagenham,162771,191.0
2005-05-01,barking and dagenham,164000,223.0
2005-06-01,barking and dagenham,165770,275.0
2005-07-01,barking and dagenham,162428,303.0
2005-08-01,barking and dagenham,164000,279.0
2005-09-01,barking and dagenham,163111,263.0
2005-10-01,barking and dagenham,164179,262.0
2005-11-01,barking and dagenham,162695,267.0
2005-12-01,barking and dagenham,162642,263.0
2006-01-01,barking and dagenham,162340,208.0
2006-02-01,barking and dagenham,163024,256.0
2006-03-01,barking and dagenham,162004,295.0
2006-04-01,barking and dagenham,164204,253.0
2006-05-01,barking and dagenham,166048,262.0
2006-06-01,barking and dagenham,169013,341.0
2006-07-01,barking and dagenham,170204,352.0
2006-08-01,barking and dagenham,171177,345.0
2006-09-01,barking and dagenham,170251,314.0
2006-10-01,barking and dagenham,170091,334.0
2006-11-01,barking and dagenham,171598,366.0
2006-12-01,barking and dagenham,174285,328.0
2007-01-01,barking and dagenham,176577,257.0
2007-02-01,barking and dagenham,177051,285.0
2007-03-01,barking and dagenham,179011,337.0
2007-04-01,barking and dagenham,179847,284.0
2007-05-01,barking and dagenham,181828,325.0
2007-06-01,barking and dagenham,183476,435.0
2007-07-01,barking and dagenham,185929,372.0
2007-08-01,barking and dagenham,187337,389.0
2007-09-01,barking and dagenham,190223,305.0
2007-10-01,barking and dagenham,191576,404.0
2007-11-01,barking and dagenham,193603,325.0
2007-12-01,barking and dagenham,192458,267.0
2008-01-01,barking and dagenham,194235,215.0
2008-02-01,barking and dagenham,193699,228.0
2008-03-01,barking and dagenham,196257,198.0
2008-04-01,barking and dagenham,192932,200.0
2008-05-01,barking and dagenham,193573,145.0
2008-06-01,barking and dagenham,190727,151.0
2008-07-01,barking and dagenham,191067,110.0
2008-08-01,barking and dagenham,189100,107.0
2008-09-01,barking and dagenham,184659,85.0
2008-10-01,barking and dagenham,177921,85.0
2008-11-01,barking and dagenham,174390,75.0
2008-12-01,barking and dagenham,169722,89.0
2009-01-01,barking and dagenham,166798,48.0
2009-02-01,barking and dagenham,161879,51.0
2009-03-01,barking and dagenham,156811,54.0
2009-04-01,barking and dagenham,152209,63.0
2009-05-01,barking and dagenham,148433,67.0
2009-06-01,barking and dagenham,150194,88.0
2009-07-01,barking and dagenham,154105,110.0
2009-08-01,barking and dagenham,156272,120.0
2009-09-01,barking and dagenham,155827,171.0
2009-10-01,barking and dagenham,156674,145.0
2009-11-01,barking and dagenham,157272,158.0
2009-12-01,barking and dagenham,160889,187.0
2010-01-01,barking and dagenham,162905,73.0
2010-02-01,barking and dagenham,163023,105.0
2010-03-01,barking and dagenham,162831,134.0
2010-04-01,barking and dagenham,162756,123.0
2010-05-01,barking and dagenham,164903,124.0
2010-06-01,barking and dagenham,167148,146.0
2010-07-01,barking and dagenham,168661,156.0
2010-08-01,barking and dagenham,170216,124.0
2010-09-01,barking and dagenham,170253,113.0
2010-10-01,barking and dagenham,170298,116.0
2010-11-01,barking and dagenham,169250,118.0
2010-12-01,barking and dagenham,166485,121.0
2011-01-01,barking and dagenham,163821,92.0
2011-02-01,barking and dagenham,162484,94.0
2011-03-01,barking and dagenham,161660,136.0
2011-04-01,barking and dagenham,162401,117.0
2011-05-01,barking and dagenham,162703,109.0
2011-06-01,barking and dagenham,162304,135.0
2011-07-01,barking and dagenham,160895,127.0
2011-08-01,barking and dagenham,163477,127.0
2011-09-01,barking and dagenham,166865,145.0
2011-10-01,barking and dagenham,167493,141.0
2011-11-01,barking and dagenham,164847,124.0
2011-12-01,barking and dagenham,162631,111.0
2012-01-01,barking and dagenham,163899,81.0
2012-02-01,barking and dagenham,163607,122.0
2012-03-01,barking and dagenham,164438,162.0
2012-04-01,barking and dagenham,164731,68.0
2012-05-01,barking and dagenham,166503,101.0
2012-06-01,barking and dagenham,168049,127.0
2012-07-01,barking and dagenham,168007,134.0
2012-08-01,barking and dagenham,166180,122.0
2012-09-01,barking and dagenham,165304,90.0
2012-10-01,barking and dagenham,165328,102.0
2012-11-01,barking and dagenham,166508,119.0
2012-12-01,barking and dagenham,167813,114.0
2013-01-01,barking and dagenham,167919,92.0
2013-02-01,barking and dagenham,169461,120.0
2013-03-01,barking and dagenham,169414,96.0
2013-04-01,barking and dagenham,169968,107.0
2013-05-01,barking and dagenham,170475,135.0
2013-06-01,barking and dagenham,172652,132.0
2013-07-01,barking and dagenham,174604,165.0
2013-08-01,barking and dagenham,173720,192.0
2013-09-01,barking and dagenham,174761,147.0
2013-10-01,barking and dagenham,176821,175.0
2013-11-01,barking and dagenham,181910,215.0
2013-12-01,barking and dagenham,183099,212.0
2014-01-01,barking and dagenham,184884,127.0
2014-02-01,barking and dagenham,185428,156.0
2014-03-01,barking and dagenham,189877,158.0
2014-04-01,barking and dagenham,193077,157.0
2014-05-01,barking and dagenham,196620,166.0
2014-06-01,barking and dagenham,198040,162.0
2014-07-01,barking and dagenham,201936,209.0
2014-08-01,barking and dagenham,204974,202.0
2014-09-01,barking and dagenham,210412,185.0
2014-10-01,barking and dagenham,213903,237.0
2014-11-01,barking and dagenham,216631,201.0
2014-12-01,barking and dagenham,218285,299.0
2015-01-01,barking and dagenham,220070,204.0
2015-02-01,barking and dagenham,222919,184.0
2015-03-01,barking and dagenham,222417,183.0
2015-04-01,barking and dagenham,222176,162.0
2015-05-01,barking and dagenham,221826,167.0
2015-06-01,barking and dagenham,227558,218.0
2015-07-01,barking and dagenham,235702,200.0
2015-08-01,barking and dagenham,241735,185.0
2015-09-01,barking and dagenham,243479,209.0
2015-10-01,barking and dagenham,243539,235.0
2015-11-01,barking and dagenham,246955,221.0
2015-12-01,barking and dagenham,253145,237.0
2016-01-01,barking and dagenham,258758,158.0
2016-02-01,barking and dagenham,262861,214.0
2016-03-01,barking and dagenham,266209,351.0
2016-04-01,barking and dagenham,266744,137.0
2016-05-01,barking and dagenham,268081,144.0
2016-06-01,barking and dagenham,269318,179.0
2016-07-01,barking and dagenham,274243,182.0
2016-08-01,barking and dagenham,279484,159.0
2016-09-01,barking and dagenham,283654,187.0
2016-10-01,barking and dagenham,286210,160.0
2016-11-01,barking and dagenham,285853,178.0
2016-12-01,barking and dagenham,285622,154.0
2017-01-01,barking and dagenham,282441,129.0
2017-02-01,barking and dagenham,280698,146.0
2017-03-01,barking and dagenham,278213,223.0
2017-04-01,barking and dagenham,280567,125.0
2017-05-01,barking and dagenham,286018,174.0
2017-06-01,barking and dagenham,289569,192.0
2017-07-01,barking and dagenham,291727,160.0
2017-08-01,barking and dagenham,290965,164.0
2017-09-01,barking and dagenham,292519,178.0
2017-10-01,barking and dagenham,293390,206.0
2017-11-01,barking and dagenham,293796,193.0
2017-12-01,barking and dagenham,292915,180.0
2018-01-01,barking and dagenham,291548,154.0
2018-02-01,barking and dagenham,292777,150.0
2018-03-01,barking and dagenham,291723,160.0
2018-04-01,barking and dagenham,291184,150.0
2018-05-01,barking and dagenham,290239,166.0
2018-06-01,barking and dagenham,294236,172.0
2018-07-01,barking and dagenham,294953,211.0
2018-08-01,barking and dagenham,295908,151.0
2018-09-01,barking and dagenham,296424,148.0
2018-10-01,barking and dagenham,299648,161.0
2018-11-01,barking and dagenham,302606,169.0
2018-12-01,barking and dagenham,301114,141.0
2019-01-01,barking and dagenham,297181,119.0
2019-02-01,barking and dagenham,293881,139.0
2019-03-01,barking and dagenham,294585,154.0
2019-04-01,barking and dagenham,296360,119.0
2019-05-01,barking and dagenham,296555,109.0
2019-06-01,barking and dagenham,295600,124.0
2019-07-01,barking and dagenham,299538,141.0
2019-08-01,barking and dagenham,300702,154.0
2019-09-01,barking and dagenham,305277,125.0
2019-10-01,barking and dagenham,304153,131.0
2019-11-01,barking and dagenham,305882,124.0
1995-01-01,barnet,93285,332.0
1995-02-01,barnet,93190,327.0
1995-03-01,barnet,92248,384.0
1995-04-01,barnet,90763,304.0
1995-05-01,barnet,90258,393.0
1995-06-01,barnet,90107,436.0
1995-07-01,barnet,91441,429.0
1995-08-01,barnet,92361,425.0
1995-09-01,barnet,93273,423.0
1995-10-01,barnet,92567,396.0
1995-11-01,barnet,90883,405.0
1995-12-01,barnet,91134,435.0
1996-01-01,barnet,91111,357.0
1996-02-01,barnet,92430,358.0
1996-03-01,barnet,91410,454.0
1996-04-01,barnet,92394,470.0
1996-05-01,barnet,91059,509.0
1996-06-01,barnet,91978,554.0
1996-07-01,barnet,92444,643.0
1996-08-01,barnet,95516,574.0
1996-09-01,barnet,97490,533.0
1996-10-01,barnet,97844,594.0
1996-11-01,barnet,97155,557.0
1996-12-01,barnet,97174,548.0
1997-01-01,barnet,98559,468.0
1997-02-01,barnet,100076,461.0
1997-03-01,barnet,101130,429.0
1997-04-01,barnet,101201,516.0
1997-05-01,barnet,103287,561.0
1997-06-01,barnet,104609,599.0
1997-07-01,barnet,107235,726.0
1997-08-01,barnet,108730,604.0
1997-09-01,barnet,112380,656.0
1997-10-01,barnet,114515,608.0
1997-11-01,barnet,115356,541.0
1997-12-01,barnet,115521,519.0
1998-01-01,barnet,115902,437.0
1998-02-01,barnet,116995,439.0
1998-03-01,barnet,118866,506.0
1998-04-01,barnet,120487,539.0
1998-05-01,barnet,122608,514.0
1998-06-01,barnet,122490,551.0
1998-07-01,barnet,124040,673.0
1998-08-01,barnet,125041,593.0
1998-09-01,barnet,125320,601.0
1998-10-01,barnet,125719,495.0
1998-11-01,barnet,125086,490.0
1998-12-01,barnet,125757,531.0
1999-01-01,barnet,126189,417.0
1999-02-01,barnet,127017,412.0
1999-03-01,barnet,126902,583.0
1999-04-01,barnet,127883,557.0
1999-05-01,barnet,129393,569.0
1999-06-01,barnet,132608,706.0
1999-07-01,barnet,136102,865.0
1999-08-01,barnet,139741,721.0
1999-09-01,barnet,143596,709.0
1999-10-01,barnet,145287,669.0
1999-11-01,barnet,147825,660.0
1999-12-01,barnet,149510,619.0
2000-01-01,barnet,153676,489.0
2000-02-01,barnet,156797,463.0
2000-03-01,barnet,159939,659.0
2000-04-01,barnet,162988,550.0
2000-05-01,barnet,165737,600.0
2000-06-01,barnet,169025,615.0
2000-07-01,barnet,170521,542.0
2000-08-01,barnet,173966,544.0
2000-09-01,barnet,175610,535.0
2000-10-01,barnet,176603,475.0
2000-11-01,barnet,175250,500.0
2000-12-01,barnet,175320,553.0
2001-01-01,barnet,175475,450.0
2001-02-01,barnet,178108,388.0
2001-03-01,barnet,178226,537.0
2001-04-01,barnet,178813,527.0
2001-05-01,barnet,178636,613.0
2001-06-01,barnet,181194,659.0
2001-07-01,barnet,183941,693.0
2001-08-01,barnet,187691,753.0
2001-09-01,barnet,190954,569.0
2001-10-01,barnet,194320,566.0
2001-11-01,barnet,198610,581.0
2001-12-01,barnet,200792,467.0
2002-01-01,barnet,203249,501.0
2002-02-01,barnet,202713,482.0
2002-03-01,barnet,204694,574.0
2002-04-01,barnet,208077,585.0
2002-05-01,barnet,214594,666.0
2002-06-01,barnet,219793,603.0
2002-07-01,barnet,227129,754.0
2002-08-01,barnet,230537,761.0
2002-09-01,barnet,233748,570.0
2002-10-01,barnet,232184,615.0
2002-11-01,barnet,235730,570.0
2002-12-01,barnet,236506,634.0
2003-01-01,barnet,244239,507.0
2003-02-01,barnet,245752,427.0
2003-03-01,barnet,250708,421.0
2003-04-01,barnet,246175,434.0
2003-05-01,barnet,244449,450.0
2003-06-01,barnet,244464,463.0
2003-07-01,barnet,250826,520.0
2003-08-01,barnet,254882,574.0
2003-09-01,barnet,257504,588.0
2003-10-01,barnet,257724,623.0
2003-11-01,barnet,257772,572.0
2003-12-01,barnet,260059,629.0
2004-01-01,barnet,259868,556.0
2004-02-01,barnet,261559,500.0
2004-03-01,barnet,261478,607.0
2004-04-01,barnet,263774,599.0
