,borough,year,all_ages,minor,18_24,25_34,35_44,45_54,55_64,65+,houses_sold,average_price,all_ages_change,all_ages_pct_change,minor_change,minor_pct_change,18_24_change,18_24_pct_change,25_34_change,25_34_pct_change,35_44_change,35_44_pct_change,45_54_change,45_54_pct_change,55_64_change,55_64_pct_change,65+_change,65+_pct_change,houses_sold_change,houses_sold_pct_change,average_price_change,average_price_pct_change
17,barnet,2005,327541,74944,28634,56119,51887,39362,31746,44849,5380,279459,3818.0,0.011794033788146141,959.0,0.012962086909508619,291.0,0.0102670853473521,551.0,0.009915778865534186,830.0,0.016256340952269133,461.0,0.01185059510038311,790.0,0.025520093035275915,-64.0,-0.0014249771780998621,-1311.0,-0.19593483784187715,7605.0,0.027974574587830148
18,barnet,2006,330801,76155,29046,56436,52091,39962,32573,44538,6752,291337,3260.0,0.009952952454807207,1211.0,0.016158731853116892,412.0,0.014388489208633004,317.0,0.005648710775316701,204.0,0.003931620637153799,600.0,0.015243127889843056,827.0,0.026050526050526157,-311.0,-0.00693437980779954,1372.0,0.2550185873605948,11878.0,0.04250355150487195
19,barnet,2007,334837,77424,29770,56579,52707,40664,33148,44545,6861,326915,4036.0,0.012200688631533785,1269.0,0.01666338388812294,724.0,0.024925979480823424,143.0,0.0025338436458997027,616.0,0.011825459292392093,702.0,0.017566688353936266,575.0,0.017652657108648162,7.0,0.0001571691589203894,109.0,0.016143364928909998,35578.0,0.12211974448834173
20,barnet,2008,339212,78418,30162,57634,52860,41724,33365,45049,3438,330023,4375.0,0.013066059007815767,994.0,0.012838396362884863,392.0,0.013167618407793125,1055.0,0.018646494282331005,153.0,0.002902840229950465,1060.0,0.02606728310053108,217.0,0.006546397972728268,504.0,0.011314401167358934,-3423.0,-0.4989068648885002,3108.0,0.00950705840967836
21,barnet,2009,345829,79788,30613,59237,53381,43155,33674,45981,3170,299103,6617.0,0.019506974989092374,1370.0,0.017470478716621107,451.0,0.014952589350838874,1603.0,0.027813443453517106,521.0,0.009856223987892543,1431.0,0.03429680759275233,309.0,0.009261201858234758,932.0,0.020688583542364913,-268.0,-0.07795229784758584,-30920.0,-0.09369043975722902
22,barnet,2010,351438,81456,30801,60480,53634,44110,34095,46862,4143,333128,5609.0,0.016218998406726914,1668.0,0.020905399308166706,188.0,0.006141181850847666,1243.0,0.020983506929790563,253.0,0.004739514059309391,955.0,0.022129533078438124,421.0,0.012502227237631391,881.0,0.019160087862377884,973.0,0.3069400630914827,34025.0,0.11375679949716311
23,barnet,2011,357538,83214,31304,61747,53749,45270,34549,47705,3908,338978,6100.0,0.01735725789470699,1758.0,0.021582203889216167,503.0,0.016330638615629445,1267.0,0.020949074074074092,115.0,0.0021441622851177122,1160.0,0.026297891634549986,454.0,0.013315735445079913,843.0,0.01798898894626766,-235.0,-0.05672218199372436,5850.0,0.017560817463557532
24,barnet,2012,363956,85311,31140,62684,54493,46547,34487,49294,4055,358627,6418.0,0.017950539523071685,2097.0,0.025200086523902154,-164.0,-0.0052389470994121945,937.0,0.015174826307351008,744.0,0.013842117992892922,1277.0,0.028208526618069385,-62.0,-0.0017945526643318166,1589.0,0.03330887747615563,147.0,0.03761514841351077,19649.0,0.0579654136846639
25,barnet,2013,369088,86623,30576,63380,55286,47702,35008,50513,4771,374770,5132.0,0.014100605567705982,1312.0,0.015379024979193856,-564.0,-0.018111753371868988,696.0,0.011103311849913755,793.0,0.014552327821922173,1155.0,0.024813629234966772,521.0,0.015107141821556036,1219.0,0.02472917596462043,716.0,0.17657213316892717,16143.0,0.04501334255368383
26,barnet,2014,374915,87983,30389,63758,56482,48925,35650,51728,5058,430363,5827.0,0.01578756285763827,1360.0,0.01570021818685574,-187.0,-0.006115907901622197,378.0,0.005964026506784403,1196.0,0.02163296313714147,1223.0,0.025638338015177453,642.0,0.01833866544789764,1215.0,0.024053214024112535,287.0,0.06015510375183397,55593.0,0.14833898124182832
