,borough,year,all_ages,minor,18_24,25_34,35_44,45_54,55_64,65+,houses_sold,average_price,all_ages_change,all_ages_pct_change,minor_change,minor_pct_change,18_24_change,18_24_pct_change,25_34_change,25_34_pct_change,35_44_change,35_44_pct_change,45_54_change,45_54_pct_change,55_64_change,55_64_pct_change,65+_change,65+_pct_change,houses_sold_change,houses_sold_pct_change,average_price_change,average_price_pct_change
77,camden,2009,212924,38451,25192,49778,35433,23190,18271,22609,2186,454627,2651.0,0.012607419877968207,439.0,0.011548984531200679,186.0,0.007438214828441092,-273.0,-0.00545443647479571,708.0,0.020388768898488063,757.0,0.033744929345161045,186.0,0.010284766380978638,648.0,0.029506853057693183,134.0,0.06530214424951275,-46596.0,-0.09296460856744404
78,camden,2010,214725,38638,26305,49278,35165,23685,18314,23340,2733,513221,1801.0,0.008458417087787273,187.0,0.004863332553119548,1113.0,0.0441806922832646,-500.0,-0.010044598015187423,-268.0,-0.007563570682696974,495.0,0.021345407503234215,43.0,0.0023534562968638983,731.0,0.032332257065770253,547.0,0.2502287282708142,58594.0,0.12888367826811864
79,camden,2011,220087,39003,28311,50555,35139,24315,18595,24169,2620,554393,5362.0,0.02497147514262421,365.0,0.009446658729747925,2006.0,0.07625926629918256,1277.0,0.025914201063354847,-26.0,-0.0007393715341958984,630.0,0.026599113362888005,281.0,0.015343453095992166,829.0,0.035518423307626446,-113.0,-0.041346505671423395,41172.0,0.08022275004335366
80,camden,2012,224962,40742,29060,50708,35371,25308,18569,25204,2413,586166,4875.0,0.022150331459831696,1739.0,0.044586313873291816,749.0,0.026456147787079276,153.0,0.0030264068835921254,232.0,0.006602350664503875,993.0,0.04083898827884025,-26.0,-0.0013982253293896019,1035.0,0.042823451528817946,-207.0,-0.07900763358778629,31773.0,0.05731132968850616
81,camden,2013,229719,42385,28519,51353,36112,26236,18924,26190,2930,667447,4757.0,0.02114579351179313,1643.0,0.04032693534927101,-541.0,-0.01861665519614586,645.0,0.012719886408456338,741.0,0.020949365299256506,928.0,0.036668247194562964,355.0,0.019117884646453698,986.0,0.039120774480241316,517.0,0.2142561127227518,81281.0,0.13866549748706003
82,camden,2014,234846,44144,28412,51571,36748,27310,19422,27239,2780,756486,5127.0,0.02231857182035446,1759.0,0.04150053084817751,-107.0,-0.003751884708440012,218.0,0.004245126866979643,636.0,0.01761187416925125,1074.0,0.040936118310718195,498.0,0.026315789473684292,1049.0,0.04005345551737305,-150.0,-0.05119453924914674,89039.0,0.13340235254634458
83,camden,2015,241059,45988,28204,52510,37781,28311,20081,28184,2487,787440,6213.0,0.026455634756393565,1844.0,0.04177238129757166,-208.0,-0.00732085034492469,939.0,0.01820790754493795,1033.0,0.028110373353651852,1001.0,0.036653240571219436,659.0,0.03393059417155797,945.0,0.03469290355739929,-293.0,-0.10539568345323747,30954.0,0.04091813992592064
84,city of london,2002,7280,678,573,1912,1200,1110,849,958,392,269632,,,,,,,,,,,,,,,,,,,,
85,city of london,2003,7115,645,524,1859,1186,1071,887,943,480,270811,-165.0,-0.022664835164835195,-33.0,-0.04867256637168138,-49.0,-0.08551483420593364,-53.0,-0.027719665271966565,-14.0,-0.011666666666666714,-39.0,-0.03513513513513511,38.0,0.0447585394581862,-15.0,-0.01565762004175364,88.0,0.22448979591836737,1179.0,0.0043726263944932064
86,city of london,2004,7118,646,503,1807,1265,1044,909,944,377,301032,3.0,0.00042164441321146384,1.0,0.0015503875968991832,-21.0,-0.040076335877862634,-52.0,-0.027972027972028024,79.0,0.06661045531197307,-27.0,-0.025210084033613467,22.0,0.024802705749718212,1.0,0.0010604453870626251,-103.0,-0.21458333333333335,30221.0,0.1115944330178611
87,city of london,2005,7131,624,476,1808,1309,1009,959,946,303,311783,13.0,0.0018263557178983536,-22.0,-0.034055727554179516,-27.0,-0.05367793240556662,1.0,0.0005534034311012181,44.0,0.034782608695652195,-35.0,-0.03352490421455934,50.0,0.05500550055005493,2.0,0.0021186440677967155,-74.0,-0.1962864721485411,10751.0,0.03571381115628913
88,city of london,2006,7254,636,472,1842,1366,995,985,958,294,338518,123.0,0.01724863273033228,12.0,0.019230769230769162,-4.0,-0.008403361344537785,34.0,0.01880530973451333,57.0,0.04354469060351418,-14.0,-0.013875123885034646,26.0,0.027111574556829998,12.0,0.012684989429175397,-9.0,-0.02970297029702973,26735.0,0.08574874191344617
89,city of london,2007,7607,658,576,1874,1494,1042,997,966,270,433838,353.0,0.04866280672732293,22.0,0.03459119496855356,104.0,0.22033898305084754,32.0,0.017372421281216077,128.0,0.09370424597364568,47.0,0.04723618090452253,12.0,0.012182741116751217,8.0,0.008350730688935215,-24.0,-0.08163265306122447,95320.0,0.2815803000135886
90,city of london,2008,7429,629,519,1803,1426,1049,993,1010,140,427296,-178.0,-0.02339950046010253,-29.0,-0.04407294832826747,-57.0,-0.09895833333333337,-71.0,-0.037886872998932786,-68.0,-0.045515394912985285,7.0,0.006717850287907945,-4.0,-0.004012036108325012,44.0,0.04554865424430643,-130.0,-0.4814814814814815,-6542.0,-0.015079361420622495
91,city of london,2009,7472,626,533,1869,1378,1071,955,1040,157,383417,43.0,0.0057881276080227195,-3.0,-0.004769475357710662,14.0,0.026974951830443183,66.0,0.03660565723793674,-48.0,-0.033660589060308554,22.0,0.020972354623450817,-38.0,-0.038267875125881146,30.0,0.02970297029702973,17.0,0.12142857142857144,-43879.0,-0.10268993859057884
92,city of london,2010,7338,678,505,1775,1322,1058,961,1039,236,453662,-134.0,-0.017933618843683052,52.0,0.08306709265175716,-28.0,-0.05253283302063794,-94.0,-0.05029427501337613,-56.0,-0.04063860667634256,-13.0,-0.012138188608776801,6.0,0.006282722513089034,-1.0,-0.0009615384615384581,79.0,0.5031847133757963,70245.0,0.1832078389847085
93,city of london,2011,7412,684,635,1789,1228,1073,952,1051,255,463930,74.0,0.010084491687108121,6.0,0.008849557522123908,130.0,0.25742574257425743,14.0,0.007887323943661873,-94.0,-0.07110438729198187,15.0,0.01417769376181477,-9.0,-0.009365244536940653,12.0,0.011549566891241536,19.0,0.0805084745762712,10268.0,0.022633590646781165
94,city of london,2012,7604,793,600,1775,1285,1102,943,1106,197,525327,192.0,0.025903939557474276,109.0,0.15935672514619892,-35.0,-0.055118110236220486,-14.0,-0.007825600894354356,57.0,0.046416938110749095,29.0,0.027027027027026973,-9.0,-0.009453781512605008,55.0,0.05233111322549955,-58.0,-0.22745098039215683,61397.0,0.13234108593968918
95,city of london,2013,7648,829,535,1787,1196,1155,944,1202,433,570008,44.0,0.005786428195686533,36.0,0.045397225725094525,-65.0,-0.10833333333333328,12.0,0.006760563380281637,-89.0,-0.06926070038910503,53.0,0.0480943738656987,1.0,0.0010604453870626251,96.0,0.08679927667269438,236.0,1.1979695431472082,44681.0,0.08505369036809451
96,city of london,2014,8072,955,536,1838,1227,1234,1006,1276,323,709385,424.0,0.05543933054393313,126.0,0.15199034981905912,1.0,0.0018691588785046953,51.0,0.028539451594851606,31.0,0.0259197324414715,79.0,0.06839826839826846,62.0,0.06567796610169485,74.0,0.061564059900166335,-110.0,-0.25404157043879905,139377.0,0.24451762080532213
97,city of london,2015,8760,1090,686,2005,1251,1323,1045,1360,308,760253,688.0,0.0852329038652131,135.0,0.1413612565445026,150.0,0.2798507462686568,167.0,0.09085963003264408,24.0,0.019559902200489088,89.0,0.07212317666126422,39.0,0.03876739562624265,84.0,0.0658307210031348,-15.0,-0.04643962848297212,50868.0,0.0717071829824425
98,croydon,2002,335415,81127,27673,54084,56588,41337,31776,42830,8504,157022,,,,,,,,,,,,,,,,,,,,
99,croydon,2003,335919,81416,27855,52909,57247,41395,32393,42704,7546,185784,504.0,0.0015026161620679268,289.0,0.0035623158751094675,182.0,0.006576807718714939,-1175.0,-0.021725464092892555,659.0,0.011645578567894166,58.0,0.0014031013377846513,617.0,0.019417170191339483,-126.0,-0.0029418631800139927,-958.0,-0.11265286923800566,28762.0,0.18317178484543573
100,croydon,2004,337134,81947,28471,52084,57379,41971,32747,42535,7586,198588,1215.0,0.0036169433702768483,531.0,0.0065220595460351305,616.0,0.022114521629869044,-825.0,-0.015592810296924942,132.0,0.002305797683721522,576.0,0.013914724000483103,354.0,0.010928286975581125,-169.0,-0.003957474709629039,40.0,0.005300821627352237,12804.0,0.0689187443482755
101,croydon,2005,339052,82254,29024,51793,57427,43020,32974,42560,6247,204407,1918.0,0.0056891325111083635,307.0,0.0037463238434598534,553.0,0.019423272803905656,-291.0,-0.005587128484755399,48.0,0.0008365429861099116,1049.0,0.024993447856853646,227.0,0.0069319326961247985,25.0,0.0005877512636651705,-1339.0,-0.17650935934616396,5819.0,0.029301871210747787
102,croydon,2006,340449,82461,29353,51894,56963,44042,33461,42275,8045,212111,1397.0,0.004120311928553777,207.0,0.0025165949376322327,329.0,0.011335446527012127,101.0,0.0019500704728439011,-464.0,-0.008079823079735982,1022.0,0.0237563923756392,487.0,0.014769212106508167,-285.0,-0.006696428571428603,1798.0,0.28781815271330236,7704.0,0.03768951161163758
103,croydon,2007,344029,83537,30106,52265,56619,45312,33770,42420,8180,233665,3580.0,0.010515525085989408,1076.0,0.01304859266804903,753.0,0.025653255203897496,371.0,0.007149188730874556,-344.0,-0.006039007776978078,1270.0,0.028836110984968855,309.0,0.009234631361884071,145.0,0.003429923122412859,135.0,0.016780609073959063,21554.0,0.10161660639947945
104,croydon,2008,349308,84722,30911,53788,55848,47063,33995,42981,3832,235998,5279.0,0.015344636644003762,1185.0,0.014185331050911465,805.0,0.026738856041985004,1523.0,0.029139959820147388,-771.0,-0.013617336936364133,1751.0,0.03864318502824848,225.0,0.0066627183891028174,561.0,0.013224893917963332,-4348.0,-0.5315403422982885,2333.0,0.009984379346500427
105,croydon,2009,352763,85384,31318,54441,54954,48681,34504,43481,3347,203706,3455.0,0.009890984460705132,662.0,0.007813790986992863,407.0,0.013166833813205603,653.0,0.012140254331821199,-894.0,-0.016007735281478253,1618.0,0.03437944882391686,509.0,0.014972790116193568,500.0,0.011633047160373167,-485.0,-0.12656576200417535,-32292.0,-0.1368316680649836
106,croydon,2010,357951,87048,31948,55049,54276,50324,35266,44040,3625,218639,5188.0,0.014706757794893388,1664.0,0.01948842874543244,630.0,0.0201162270898525,608.0,0.011168053489098329,-678.0,-0.012337591440113593,1643.0,0.03375033380579695,762.0,0.022084396012056473,559.0,0.01285619006002614,278.0,0.08305945622945932,14933.0,0.0733066281798278
107,croydon,2011,364815,89216,32345,56726,53725,51989,36158,44656,3493,215427,6864.0,0.019175808979441378,2168.0,0.024905799099347536,397.0,0.01242644296982598,1677.0,0.030463768642482236,-551.0,-0.010151816640872613,1665.0,0.03308560527779991,892.0,0.025293483808767725,616.0,0.013987284287011903,-132.0,-0.03641379310344828,-3212.0,-0.014690883145276001
108,croydon,2012,368886,90729,31692,57177,53760,53134,36158,46236,3617,221817,4071.0,0.011159080629908225,1513.0,0.01695884146341453,-653.0,-0.020188591745246565,451.0,0.007950498889398139,35.0,0.0006514657980456473,1145.0,0.0220238896689684,0.0,0.0,1580.0,0.03538158366176991,124.0,0.03549957056971076,6390.0,0.029662020081048235
109,croydon,2013,372752,91628,31594,57349,53901,54081,36723,47476,4852,234439,3866.0,0.010480202555803064,899.0,0.009908628994037105,-98.0,-0.003092263031679865,172.0,0.003008202598947074,141.0,0.0026227678571428825,947.0,0.017822862950276575,565.0,0.015625864262403866,1240.0,0.026818928973094458,1235.0,0.34144318495991155,12622.0,0.056902762186847644
110,croydon,2014,376040,92350,30975,57225,54318,54809,37787,48576,6010,274827,3288.0,0.008820878224664153,722.0,0.007879687431789462,-619.0,-0.019592327657150133,-124.0,-0.002162199863990688,417.0,0.007736405632548626,728.0,0.013461289547160638,1064.0,0.028973667728671382,1100.0,0.023169601482854407,1158.0,0.23866446826051102,40388.0,0.17227509074855285
111,croydon,2015,379031,93194,29979,57130,55286,54943,39164,49335,5766,307064,2991.0,0.007953941070098836,844.0,0.009139144558743872,-996.0,-0.032154963680387394,-95.0,-0.0016601135867191363,968.0,0.017820980153908428,134.0,0.0024448539473445052,1377.0,0.036441104083414944,759.0,0.015625,-244.0,-0.04059900166389352,32237.0,0.11729924643502998
112,ealing,2002,309242,67391,29988,64650,50740,36072,25701,34700,6228,198426,,,,,,,,,,,,,,,,,,,,
113,ealing,2003,308108,67731,29320,63062,51172,36197,25989,34637,5749,221689,-1134.0,-0.00366703099837673,340.0,0.0050451840750247445,-668.0,-0.022275576897425653,-1588.0,-0.024563031709203376,432.0,0.008513992905005985,125.0,0.003465291638944379,288.0,0.011205789657990017,-63.0,-0.001815561959654155,-479.0,-0.0769107257546564,23263.0,0.11723766038724759
114,ealing,2004,310073,68156,30025,63029,51580,36505,26288,34490,6008,241038,1965.0,0.006377633816713635,425.0,0.006274822459435114,705.0,0.024045020463847155,-33.0,-0.000523294535536456,408.0,0.007973110294692498,308.0,0.008508992457938458,299.0,0.011504867443918654,-147.0,-0.004244016514132309,259.0,0.04505131327187328,19349.0,0.08727992818768637
115,ealing,2005,312774,68712,30108,63763,52027,37046,26624,34494,4881,244871,2701.0,0.008710851960667343,556.0,0.008157755736839079,83.0,0.002764363030807626,734.0,0.01164543305462562,447.0,0.008666149670414791,541.0,0.01481988768661835,336.0,0.012781497261107777,4.0,0.00011597564511456326,-1127.0,-0.1875832223701731,3833.0,0.015902056937080467
116,ealing,2006,315329,69291,30426,64332,52088,37659,27078,34455,6482,260206,2555.0,0.008168837563224507,579.0,0.008426475724764293,318.0,0.010561976883220359,569.0,0.008923670467198885,61.0,0.001172468141541927,613.0,0.016546995627058303,454.0,0.017052283653846256,-39.0,-0.0011306314141590335,1601.0,0.3280065560335996,15335.0,0.0626248106145686
117,ealing,2007,318671,70380,30953,64480,52468,38084,27719,34587,6158,293783,3342.0,0.010598454312797045,1089.0,0.015716326795687685,527.0,0.017320712548478223,148.0,0.00230056581483562,380.0,0.007295346336968267,425.0,0.011285482885897036,641.0,0.023672353940468183,132.0,0.0038310840226383203,-324.0,-0.04998457266275835,33577.0,0.12904006825361436
118,ealing,2008,324022,71912,31270,65983,52975,38737,28269,34876,2720,295324,5351.0,0.016791612666354983,1532.0,0.021767547598749548,317.0,0.01024133363486568,1503.0,0.023309553349875944,507.0,0.009663032705649055,653.0,0.017146308160907564,550.0,0.019841985641617654,289.0,0.00835574059617783,-3438.0,-0.558298148749594,1541.0,0.005245368179915166
119,ealing,2009,329966,73585,31385,66875,53665,39949,29150,35357,2368,264041,5944.0,0.018344433402670113,1673.0,0.02326454555567925,115.0,0.003677646306363913,892.0,0.0135186335874391,690.0,0.01302501179801796,1212.0,0.03128791594599489,881.0,0.03116488025752595,481.0,0.013791719233857025,-352.0,-0.12941176470588234,-31283.0,-0.10592772683561102
120,ealing,2010,334073,75196,31269,66961,53799,40989,30027,35832,3169,292825,4107.0,0.012446736936532865,1611.0,0.02189304885506549,-116.0,-0.003696033136848853,86.0,0.001285981308411177,134.0,0.0024969719556509062,1040.0,0.026033192320208176,877.0,0.030085763293310475,475.0,0.0134343977147382,801.0,0.3382601351351351,28784.0,0.10901337292314461
121,ealing,2011,339314,76787,31285,67720,53992,42127,30947,36456,3011,302306,5241.0,0.01568818791102533,1591.0,0.021158040321293647,16.0,0.0005116888931528951,759.0,0.011334956168516097,193.0,0.003587427275600019,1138.0,0.02776354631730471,920.0,0.03063909148433086,624.0,0.017414601473543234,-158.0,-0.04985799936888613,9481.0,0.03237769999146245
122,ealing,2012,340671,78096,29839,66741,54241,43020,31285,37449,3237,318697,1357.0,0.003999245536582707,1309.0,0.017047156419706555,-1446.0,-0.046220233338660655,-979.0,-0.01445658594211463,249.0,0.00461179433990222,893.0,0.021197806632325955,338.0,0.010921898730086976,993.0,0.027238314680710918,226.0,0.07505812022583869,16391.0,0.054219896396366485
123,ealing,2013,342494,79516,28472,65659,54681,43913,31791,38462,3848,338088,1823.0,0.005351203947503658,1420.0,0.018182749436590928,-1367.0,-0.04581252722946483,-1082.0,-0.016211923705068854,440.0,0.008111944838775198,893.0,0.02075778707577869,506.0,0.01617388524852159,1013.0,0.027050121498571444,611.0,0.1887550200803212,19391.0,0.060844626714402716
124,ealing,2014,342118,80256,27326,62801,55171,44776,32267,39521,3502,400039,-376.0,-0.0010978294510268771,740.0,0.009306303133960414,-1146.0,-0.04025007024445071,-2858.0,-0.04352792458002708,490.0,0.008961065086593223,863.0,0.019652494705440393,476.0,0.01497279104148963,1059.0,0.027533669595964927,-346.0,-0.08991683991683996,61951.0,0.1832392749816616
125,ealing,2015,343059,81270,26471,60796,55388,45662,33068,40404,3669,438310,941.0,0.002750512980901343,1014.0,0.012634569377990346,-855.0,-0.031288882383078365,-2005.0,-0.031926243212687666,217.0,0.003933225788910866,886.0,0.019787386099696214,801.0,0.02482412371773024,883.0,0.02234255206092972,167.0,0.04768703597944035,38271.0,0.09566817235319558
126,enfield,2002,280745,66084,25622,45263,46562,33142,26393,37679,7237,159790,,,,,,,,,,,,,,,,,,,,
127,enfield,2003,281835,66840,25942,44102,47335,33344,26723,37549,6321,190572,1090.0,0.003882526848207446,756.0,0.011439985473034264,320.0,0.012489267036140728,-1161.0,-0.02565008947705627,773.0,0.016601520553240823,202.0,0.006094985215134852,330.0,0.01250331527298898,-130.0,-0.0034501977228694747,-916.0,-0.12657178388835155,30782.0,0.19264034044683642
128,enfield,2004,282217,67616,25884,43146,47411,33831,26931,37398,6212,205848,382.0,0.0013554029840154858,776.0,0.011609814482345993,-58.0,-0.0022357566879962487,-956.0,-0.021677021450274392,76.0,0.0016055772684060443,487.0,0.014605326295585419,208.0,0.00778355723534041,-151.0,-0.004021412021625093,-109.0,-0.017244106945103588,15276.0,0.08015868018386763
129,enfield,2005,284779,68929,25963,43109,47531,34698,27176,37373,5058,212548,2562.0,0.009078120736879747,1313.0,0.019418480832938956,79.0,0.003052078504095279,-37.0,-0.0008575534232605486,120.0,0.002531058193246283,867.0,0.02562738316928259,245.0,0.009097322787865236,-25.0,-0.0006684849457190278,-1154.0,-0.1857694784288474,6700.0,0.03254828805720722
130,enfield,2006,287429,70363,26172,43393,47252,35663,27477,37109,6312,219541,2650.0,0.009305461427984607,1434.0,0.020804015726327174,209.0,0.008049917189847156,284.0,0.006587951471850317,-279.0,-0.005869853358860588,965.0,0.027811401233500455,301.0,0.011075949367088667,-264.0,-0.007063923153078466,1254.0,0.24792408066429417,6993.0,0.032900803583190585
131,enfield,2007,291534,72073,26790,44014,47185,36666,27696,37110,6416,243911,4105.0,0.014281787850216832,1710.0,0.024302545371857276,618.0,0.02361302154974787,621.0,0.014311063996497175,-67.0,-0.0014179293998137776,1003.0,0.02812438661918515,219.0,0.00797030243476371,1.0,2.6947640733965272e-05,104.0,0.016476552598225558,24370.0,0.11100432265499394
132,enfield,2008,297443,73976,27659,45312,47239,38081,27740,37436,3078,245839,5909.0,0.020268647910706816,1903.0,0.026403785051267503,869.0,0.03243747667039942,1298.0,0.029490616621983934,54.0,0.001144431493059317,1415.0,0.03859161075655915,44.0,0.0015886770652802085,326.0,0.00878469415251959,-3338.0,-0.5202618453865336,1928.0,0.007904522551258397
133,enfield,2009,301971,75564,28244,46074,46846,39385,27984,37874,2538,221993,4528.0,0.015223084759096617,1588.0,0.02146642154212186,585.0,0.02115043927835414,762.0,0.016816737288135597,-393.0,-0.008319397108321525,1304.0,0.03424279824584442,244.0,0.008795962509012156,438.0,0.011699967945293377,-540.0,-0.17543859649122806,-23846.0,-0.0969984420698099
134,enfield,2010,307648,77283,29003,47643,46285,40805,28337,38292,2888,242127,5677.0,0.01879981852561996,1719.0,0.022748928060981388,759.0,0.02687296416938101,1569.0,0.0340539132699571,-561.0,-0.011975408786235708,1420.0,0.036054335406880744,353.0,0.01261435105774722,418.0,0.011036595025611273,350.0,0.13790386130811672,20134.0,0.09069655349493
135,enfield,2011,313935,78886,29593,49391,45953,42273,28776,39063,2717,241991,6287.0,0.02043569273975443,1603.0,0.020741948423327328,590.0,0.020342723166568932,1748.0,0.0366895451587852,-332.0,-0.00717295019984876,1468.0,0.03597598333537566,439.0,0.015492112785404188,771.0,0.02013475399561271,-171.0,-0.05921052631578949,-136.0,-0.0005616887005579496
136,enfield,2012,317287,80121,29070,49961,45674,43406,28942,40113,2801,247667,3352.0,0.010677369519167978,1235.0,0.015655502877570227,-523.0,-0.017673098367857243,570.0,0.01154056407037718,-279.0,-0.006071420799512506,1133.0,0.02680197762164971,166.0,0.005768696135668661,1050.0,0.026879655940403868,84.0,0.030916451969083658,5676.0,0.023455417763470487
137,enfield,2013,320524,80924,28434,50668,45717,44321,29567,40893,3416,261604,3237.0,0.010202119847330549,803.0,0.010022341208921537,-636.0,-0.021878224974200222,707.0,0.01415103780949134,43.0,0.0009414546569164184,915.0,0.021080035018200327,625.0,0.02159491396586266,780.0,0.019445067683793393,615.0,0.21956444127097474,13937.0,0.05627314095135816
138,enfield,2014,324574,81999,28157,51040,46293,45098,30391,41596,3904,294515,4050.0,0.012635559271692687,1075.0,0.013284069003015153,-277.0,-0.009741858338608744,372.0,0.007341912054945832,576.0,0.012599251919417354,777.0,0.017531192888247116,824.0,0.027868907904082363,703.0,0.017191206318929897,488.0,0.1428571428571428,32911.0,0.12580465130502594
139,enfield,2015,328433,83164,27836,51557,46745,45736,31350,42045,3771,335503,3859.0,0.011889430453455807,1165.0,0.01420749033524804,-321.0,-0.011400362254501584,517.0,0.010129310344827669,452.0,0.009763895189337513,638.0,0.014146968823451234,959.0,0.03155539468921731,449.0,0.010794307144917692,-133.0,-0.034067622950819665,40988.0,0.13917117973617632
140,greenwich,2002,221476,52769,22161,40542,35530,24264,18671,27539,5395,147421,,,,,,,,,,,,,,,,,,,,
141,greenwich,2003,224303,53521,22897,40751,36392,24421,19127,27194,4942,171042,2827.0,0.012764362730047552,752.0,0.014250791184218015,736.0,0.033211497676097546,209.0,0.00515514774801451,862.0,0.024261187728680023,157.0,0.006470491262776212,456.0,0.024422901826361754,-345.0,-0.01252768800610049,-453.0,-0.08396663577386465,23621.0,0.16022819001363442
142,greenwich,2004,227190,53949,23784,41261,37064,24938,19317,26877,5639,186893,2887.0,0.012870982554847643,428.0,0.007996861045197257,887.0,0.03873869939293351,510.0,0.01251503030600487,672.0,0.018465596834469133,517.0,0.02117030424634536,190.0,0.009933601714853246,-317.0,-0.011656983158049528,697.0,0.14103601780655595,15851.0,0.09267314460775711
143,greenwich,2005,230494,54952,23880,42353,37719,25699,19397,26494,4698,196343,3304.0,0.01454289361327521,1003.0,0.018591632838421468,96.0,0.004036326942482349,1092.0,0.02646566976079101,655.0,0.017672134685948526,761.0,0.03051567888363138,80.0,0.004141429828648402,-383.0,-0.014250102317967084,-941.0,-0.16687355914169177,9450.0,0.050563691524027066
144,greenwich,2006,233990,55865,24442,43307,37984,26716,19498,26178,5257,207167,3496.0,0.015167423013180414,913.0,0.016614499927209092,562.0,0.023534338358458973,954.0,0.02252496871532128,265.0,0.0070256369468968405,1017.0,0.0395735242616444,101.0,0.0052069907717688935,-316.0,-0.011927228806522194,559.0,0.11898680289484886,10824.0,0.055128015768323824
145,greenwich,2007,236535,56783,24738,43774,38390,27296,19804,25750,5181,228861,2545.0,0.010876533185178783,918.0,0.01643247113577373,296.0,0.012110301939284751,467.0,0.01078347611240682,406.0,0.010688711036225707,580.0,0.021709836801916405,306.0,0.015693917324853812,-428.0,-0.01634960653984263,-76.0,-0.014456914590070369,21694.0,0.10471745017304879
146,greenwich,2008,239748,57716,24861,44486,38866,28171,20051,25597,2387,231136,3213.0,0.013583613418733043,933.0,0.016430974059137515,123.0,0.004972107688576255,712.0,0.016265363000868005,476.0,0.012399062255795679,875.0,0.03205597889800704,247.0,0.01247222783276114,-153.0,-0.0059417475728155145,-2794.0,-0.5392781316348195,2275.0,0.009940531589043067
147,greenwich,2009,243672,59084,24850,45124,39265,29220,20412,25717,1937,210322,3924.0,0.01636718554482197,1368.0,0.023702266269318706,-11.0,-0.000442460078033835,638.0,0.014341590612777066,399.0,0.010266042299181821,1049.0,0.03723687480032667,361.0,0.018004089571592496,120.0,0.004688049380786818,-450.0,-0.18852115626309174,-20814.0,-0.090050879136093
148,greenwich,2010,249171,60282,25833,46033,39957,30422,20765,25879,2233,229069,5499.0,0.022567221510883417,1198.0,0.02027621691151582,983.0,0.03955734406438638,909.0,0.020144490736636822,692.0,0.01762383802368528,1202.0,0.04113620807665974,353.0,0.017293748775230267,162.0,0.006299335070186984,296.0,0.15281362932369635,18747.0,0.08913475527999926
149,greenwich,2011,255483,61458,26861,47462,40630,31432,21409,26231,2560,229295,6312.0,0.02533200091503418,1176.0,0.019508310938588735,1028.0,0.039794061858862806,1429.0,0.031042947450741876,673.0,0.01684310633931485,1010.0,0.03319965814213388,644.0,0.031013725018059324,352.0,0.01360176204644703,327.0,0.1464397671294222,226.0,0.0009866022901396931
150,greenwich,2012,260068,62518,26964,48431,41379,32495,21247,27034,2764,236980,4585.0,0.017946399564745974,1060.0,0.017247551173158904,103.0,0.003834555675514606,969.0,0.020416333066453074,749.0,0.018434654196406663,1063.0,0.033819037923135564,-162.0,-0.007566911112149133,803.0,0.03061263390644653,204.0,0.07968749999999991,7685.0,0.03351577661963856
151,greenwich,2013,264008,63690,26034,49251,42420,33484,21506,27623,3534,253399,3940.0,0.015149883876524495,1172.0,0.018746600978918115,-930.0,-0.03449043168669341,820.0,0.016931304329871333,1041.0,0.025157688682665214,989.0,0.0304354516079397,259.0,0.012189956229114784,589.0,0.021787378856255035,770.0,0.27858176555716363,16419.0,0.06928432779137483
152,greenwich,2014,268678,64676,25263,50159,43691,34372,22338,28179,4625,298351,4670.0,0.017688857913396472,986.0,0.015481237242895185,-771.0,-0.029615118690942577,908.0,0.018436173884794238,1271.0,0.02996228194247985,888.0,0.026520129016843974,832.0,0.038686878080535614,556.0,0.02012815407450308,1091.0,0.30871533672891904,44952.0,0.1773961223209246
153,greenwich,2015,274803,66043,25443,50683,45491,35229,23247,28667,4301,331848,6125.0,0.022796805097551776,1367.0,0.021136124683035495,180.0,0.007125044531528291,524.0,0.010446779242010429,1800.0,0.04119841614977915,857.0,0.02493308506924241,909.0,0.040692989524576895,488.0,0.01731786081833997,-324.0,-0.07005405405405407,33497.0,0.11227379831138484
154,hackney,2002,210961,53964,22129,45285,36179,20805,13826,18764,3656,180269,,,,,,,,,,,,,,,,,,,,
155,hackney,2003,212403,54499,22631,45116,36838,20991,13897,18420,2764,201071,1442.0,0.006835386635444474,535.0,0.009914016751908727,502.0,0.022685164264087954,-169.0,-0.0037319200618306514,659.0,0.018214986594433213,186.0,0.008940158615717397,71.0,0.005135252422971304,-344.0,-0.01833297804306122,-892.0,-0.24398249452954046,20802.0,0.11539421642101533
156,hackney,2004,213582,54689,23528,45105,36848,21347,13927,18143,3322,217677,1179.0,0.0055507690569343016,190.0,0.0034863025009632675,897.0,0.03963589766249842,-11.0,-0.00024381594112954375,10.0,0.00027145881969703467,356.0,0.016959649373541108,30.0,0.002158739296250989,-277.0,-0.015038002171552711,558.0,0.20188133140376263,16606.0,0.08258774263817248
157,hackney,2005,216512,54832,24522,46322,36853,21952,14073,17940,2544,227937,2930.0,0.013718384508057735,143.0,0.0026147854230282874,994.0,0.042247534852091206,1217.0,0.02698148763995123,5.0,0.000135692574902313,605.0,0.028341218906637877,146.0,0.010483234005887798,-203.0,-0.011188888276470244,-778.0,-0.23419626730885013,10260.0,0.04713405642304891
158,hackney,2006,220193,54735,25629,48257,37046,22610,14238,17661,3389,253254,3681.0,0.01700136712976641,-97.0,-0.001769039976656006,1107.0,0.0451431367751407,1935.0,0.041772807737144424,193.0,0.005237022766124921,658.0,0.029974489795918435,165.0,0.011724578981027411,-279.0,-0.015551839464882922,845.0,0.33215408805031443,25317.0,0.11107016412429749
